#DUMP_OFFSET.I,ELAPSED_USECS.D,ELAPSED_TICKS.I,CMD.S,INFLIGHT_IOS.I,TS.I,SEQID.I,LUN_SSID.I,OP.I,PHASE.I,LBA.I,NBLKS.I,LATENCY_TICKS.I,HOST_ID.I,HOST_LUN.I,LATENCY_USECS.D
3620456,81729321.197,174355885192,WR_IN,0,30736998253458204,1483333858,1,1,0,3143362032,112,302252,6,1,141.681
3620512,81729737.923,174356774208,WR_IN,0,30736998254347220,1483333859,1,1,0,3143362144,112,300900,6,1,141.047
3620568,81731284.466,174360073500,WR_IN,0,30736998257646512,1483333860,1,1,0,3148292224,112,300568,6,1,140.891
3620624,81732206.792,174362041128,WR_IN,0,30736998259614140,1483333861,1,1,0,3148801392,112,298676,6,1,140.004
3620680,81732559.749,174362794104,WR_IN,0,30736998260367116,1483333862,1,1,0,3144697016,112,358596,6,1,168.092
3620736,81733249.725,174364266052,WR_IN,0,30736998261839064,1483333863,1,1,0,3144697128,112,345856,6,1,162.120
3620792,81735113.769,174368242680,WR_IN,0,30736998265815692,1483333864,1,1,0,3148801616,112,297260,6,1,139.341
3620848,81735961.262,174370050664,WR_IN,0,30736998267623676,1483333865,1,1,0,3148802048,112,298800,6,1,140.063
3620904,81737959.865,174374314352,WR_IN,0,30736998271887364,1483333866,1,1,0,3147409680,112,317448,6,1,148.804
3620932,81738052.897,174374512820,WR_IN,1,30736998272085832,1483333867,1,1,0,3144697352,112,345732,6,1,162.062
3621016,81738277.412,174374991784,WR_IN,0,30736998272564796,1483333868,1,1,0,3147272440,112,363412,6,1,170.349
3621044,81738390.103,174375232192,WR_IN,1,30736998272805204,1483333869,1,1,0,3145452096,112,297704,6,1,139.549
3621128,81738760.299,174376021944,WR_IN,0,30736998273594956,1483333870,1,1,0,3147272104,112,305060,6,1,142.997
3621156,81738866.300,174376248080,WR_IN,1,30736998273821092,1483333871,1,1,0,3144137328,112,297200,6,1,139.313
3621240,81739198.822,174376957460,WR_IN,0,30736998274530472,1483333872,1,1,0,3147272216,112,333844,6,1,156.489
3621296,81739467.684,174377531032,WR_IN,0,30736998275104044,1483333873,1,1,0,3142624752,112,304852,6,1,142.899
3621352,81740074.507,174378825588,WR_IN,0,30736998276398600,1483333874,1,1,0,3142624640,112,300244,6,1,140.739
3621408,81740519.409,174379774712,WR_IN,0,30736998277347724,1483333875,1,1,0,3145353416,112,326964,6,1,153.264
3621464,81741090.557,174380993160,WR_IN,0,30736998278566172,1483333876,1,1,0,3145616096,112,316180,6,1,148.209
3621492,81741183.688,174381191840,WR_IN,1,30736998278764852,1483333877,1,1,0,3147409792,112,295620,6,1,138.572
3621576,81741679.670,174382249936,WR_IN,0,30736998279822948,1483333878,1,1,0,3145793584,112,297616,6,1,139.508
3621632,81741970.168,174382869664,WR_IN,0,30736998280442676,1483333879,1,1,0,3145957448,112,321796,6,1,150.842
3621660,81742063.773,174383069356,WR_IN,1,30736998280642368,1483333880,1,1,0,3144707872,112,302896,6,1,141.983
3621744,81742383.776,174383752028,WR_IN,0,30736998281325040,1483333881,1,1,0,3145793120,96,304640,6,1,142.800
3621772,81742384.333,174383753216,WR_IN,1,30736998281326228,1483333882,1,1,0,3145793456,16,166260,6,1,77.934
3621828,81742475.593,174383947904,WR_IN,1,30736998281520916,1483333883,1,1,0,3144698672,112,317344,6,1,148.755
3621912,81742839.043,174384723264,WR_IN,0,30736998282296276,1483333884,1,1,0,3145793808,112,295972,6,1,138.737
3621968,81743207.492,174385509288,WR_IN,0,30736998283082300,1483333885,1,1,0,3146156384,112,299960,6,1,140.606
3622024,81743491.987,174386116212,WR_IN,0,30736998283689224,1483333886,1,1,0,3145757024,112,296824,6,1,139.136
3622080,81744971.555,174389272624,WR_IN,0,30736998286845636,1483333887,1,1,0,3148786872,48,261336,6,1,122.501
3622108,81744972.135,174389273860,WR_IN,1,30736998286846872,1483333888,1,1,0,3148785816,40,297288,6,1,139.354
3622136,81744985.517,174389302408,WR_IN,2,30736998286875420,1483333889,1,1,0,3148785968,24,267996,6,1,125.623
3622248,81748215.819,174396193720,WR_IN,0,30736998293766732,1483333890,1,1,0,3148785992,112,320152,6,1,150.071
3622276,81748329.838,174396436960,WR_IN,1,30736998294009972,1483333891,1,1,0,3147403856,48,216624,6,1,101.543
3622304,81748330.438,174396438240,WR_IN,2,30736998294011252,1483333892,1,1,0,3147408704,64,269668,6,1,126.407
3622416,81748584.206,174396979612,WR_IN,0,30736998294552624,1483333893,1,1,0,3145178376,112,329884,6,1,154.633
3622472,81748923.663,174397703788,WR_IN,0,30736998295276800,1483333894,1,1,0,3145175152,16,128228,6,1,60.107
3622500,81748924.260,174397705060,WR_IN,1,30736998295278072,1483333895,1,1,0,3145178176,96,285444,6,1,133.802
3622584,81749188.948,174398269728,WR_IN,0,30736998295842740,1483333896,1,1,0,3148786536,112,332356,6,1,155.792
3622640,81749590.265,174399125872,WR_IN,0,30736998296698884,1483333897,1,1,0,3145793920,16,121120,6,1,56.775
3622668,81749598.812,174399144104,WR_IN,1,30736998296717116,1483333898,1,1,0,3148375232,96,269448,6,1,126.304
3622752,81752284.623,174404873836,WR_IN,0,30736998302446848,1483333899,1,1,0,3148786216,112,323500,6,1,151.641
3622808,81754535.679,174409676088,WR_IN,0,30736998307249100,1483333900,1,1,0,3148785400,112,333440,6,1,156.300
3622864,81756040.582,174412886548,WR_IN,0,30736998310459560,1483333901,1,1,0,3148786104,112,334012,6,1,156.568
3622920,81758253.735,174417607940,WR_IN,0,30736998315180952,1483333902,1,1,0,3145155040,8,127820,6,1,59.916
3622948,81758254.295,174417609136,WR_IN,1,30736998315182148,1483333903,1,1,0,3145155200,104,315404,6,1,147.846
3623032,81758515.578,174418166540,WR_IN,0,30736998315739552,1483333904,1,1,0,3145155752,112,335496,6,1,157.264
3623088,81759040.010,174419285328,WR_IN,0,30736998316858340,1483333905,1,1,0,3145155976,112,335208,6,1,157.129
3623116,81759131.340,174419480164,WR_IN,1,30736998317053176,1483333906,1,1,0,3148766744,112,313048,6,1,146.741
3623200,81759487.305,174420239556,WR_IN,0,30736998317812568,1483333907,1,1,0,3145155528,112,333872,6,1,156.503
3623256,81759839.098,174420990048,WR_IN,0,30736998318563060,1483333908,1,1,0,3145156088,112,312220,6,1,146.353
3623312,81760136.758,174421625056,WR_IN,0,30736998319198068,1483333909,1,1,0,3145155640,112,336284,6,1,157.633
3623368,81760340.505,174422059716,WR_IN,0,30736998319632728,1483333910,1,1,0,3145355056,112,296256,6,1,138.870
